Ward,Households all 65+,Share of 65+ hhs,Share of popn 65+,Average of IMDScore,Indexed ave IMD,Indexed ave IDO,Average of IDOScore,Average of HDDScore,Corrected ave HDD,Indexed ave HDD,Average of ASScore,Indexed ave AS,No USO,Share of no-USO postcodes,No Superfast,Share of no-SFBB postcodes,Combined disability,DigiNo postcodes,Share of DigiNo postcodes,UC+HB claims,Share of UC+HB claims,Pension Credit,Share of Pension Credit,Unweighted DE Risk,Weighted DE Risk
Summit,617,5.8,5,40.5,6.9,7.2,0.24,1.09,1.24,8.06,0.48,5.23,1,0.6,13,1.9,8.6,34,9.5,1109,10.3,324,10,79,99
Carsic,606,5.7,4.5,49.7,8.4,7.6,0.26,1.59,1.74,11.31,0.51,5.54,0,0,1,0.1,7.6,27,7.6,937,8.7,258,7.9,75,97
Leamington,490,4.6,3.9,44.5,7.5,9.1,0.31,1.37,1.52,9.87,0.47,5.14,0,0,0,0,6.4,32,9,843,7.8,228,7,70,90
Annesley & Kirkby Woodhouse,741,6.9,7.4,18.4,3.1,3.5,0.12,0.32,0.47,3.07,0.39,4.2,66,42.9,90,13.4,5.5,21,5.9,424,3.9,177,5.4,105,84
Hucknall North,815,7.6,7.6,21,3.6,4.3,0.14,0.37,0.53,3.42,0.34,3.67,1,0.6,32,4.8,6.8,32,9,826,7.7,208,6.4,65,78
Hucknall Central,798,7.5,7.4,21.9,3.7,3.5,0.12,0.24,0.4,2.58,0.36,3.85,3,1.9,15,2.2,6.7,24,6.7,809,7.5,240,7.4,61,74
Skegby,811,7.6,7,25.3,4.3,4.6,0.16,0.69,0.84,5.46,0.4,4.34,0,0,0,0,6.6,19,5.3,626,5.8,207,6.4,57,74
Central & New Cross,342,3.2,2.9,40,6.8,6.9,0.23,1.03,1.19,7.7,0.48,5.24,1,0.6,3,0.4,6.2,12,3.4,841,7.8,167,5.1,56,72
Hucknall West,698,6.5,7.2,23.7,4,3.5,0.12,0.33,0.49,3.17,0.4,4.39,4,2.6,50,7.5,6.3,18,5,620,5.7,200,6.1,62,70
Stanton Hill & Teversal,276,2.6,2.9,30.3,5.1,3.7,0.13,0.57,0.72,4.67,0.45,4.87,55,35.7,120,17.9,2.9,10,2.8,273,2.5,78,2.4,88,65
Huthwaite & Brierley,554,5.2,5.1,25.1,4.3,4.5,0.15,0.55,0.7,4.55,0.42,4.53,7,4.5,9,1.3,4.8,16,4.5,583,5.4,167,5.1,54,64
Hucknall South,466,4.4,4.2,28.6,4.8,5,0.17,0.54,0.69,4.47,0.38,4.17,5,3.2,5,0.7,4.5,17,4.8,566,5.2,139,4.3,50,60
Selston,617,5.8,6.4,19.7,3.3,3.6,0.12,0.4,0.55,3.59,0.38,4.15,0,0,17,2.5,4.5,14,3.9,474,4.4,183,5.6,48,59
Abbey Hill,253,2.4,2.8,41.3,7,4.6,0.15,0.75,0.9,5.87,0.45,4.93,0,0,6,0.9,3.6,6,1.7,394,3.7,102,3.1,40,52
Kingsway,366,3.4,3.2,21.1,3.6,3.7,0.12,0.33,0.48,3.13,0.39,4.28,0,0,0,0,3,10,2.8,241,2.2,94,2.9,32,41
St Mary's,323,3,2.9,23.5,4,3.6,0.12,0.54,0.69,4.47,0.4,4.37,1,0.6,1,0.1,2.4,10,2.8,171,1.6,73,2.2,32,40
Kirkby Cross & Portland,299,2.8,2.9,18.4,3.1,3.1,0.1,0.45,0.61,3.94,0.34,3.72,5,3.2,47,7,2.3,6,1.7,209,1.9,71,2.2,38,39
Jacksdale,285,2.7,2.8,19.4,3.3,4.7,0.16,0.26,0.41,2.68,0.42,4.55,3,1.9,23,3.4,2.2,6,1.7,227,2.1,92,2.8,35,39
Larwood,191,1.8,1.9,17.3,2.9,2.9,0.1,0.15,0.3,1.94,0.33,3.63,0,0,196,29.2,1.8,2,0.6,96,0.9,39,1.2,49,36
The Dales,276,2.6,2.9,18,3,2.4,0.08,0.38,0.53,3.46,0.38,4.13,0,0,2,0.3,1.7,17,4.8,96,0.9,37,1.1,27,33
Sutton Junction & Harlow Wood,316,3,3.4,14.2,2.4,2.6,0.09,-0.15,0,0,0.31,3.39,0,0,34,5.1,2.3,16,4.5,148,1.4,58,1.8,30,32
Underwood,341,3.2,3.5,13.2,2.2,2.9,0.1,0.11,0.26,1.7,0.36,3.87,2,1.3,6,0.9,1.4,5,1.4,105,1,78,2.4,26,30
Ashfields,189,1.8,2.3,15.3,2.6,2.5,0.08,-0.01,0.14,0.91,0.35,3.81,0,0,1,0.1,2,3,0.8,171,1.6,36,1.1,20,24
